2025-06-21 10:50:57,017 - INFO - Conectado a COM9 @ 115200 bps
2025-06-21 10:50:58,026 - ERROR - Error en lectura: 'utf-8' codec can't decode byte 0xa2 in position 0: invalid start byte
2025-06-21 10:51:14,905 - INFO - TX >> M:20.00,20.00
2025-06-21 10:52:16,143 - INFO - TX >> M:20.00,20.00
2025-06-21 10:52:17,177 - ERROR - Error en lectura: 'utf-8' codec can't decode byte 0xa5 in position 0: invalid start byte
2025-06-21 10:52:21,424 - INFO - TX >> H
2025-06-21 10:52:41,759 - INFO - TX >> ?
2025-06-21 10:53:19,527 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,544 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,559 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,574 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,590 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,605 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,620 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,636 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,652 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,667 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,683 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,699 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,714 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,729 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,745 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,760 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,775 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,791 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,806 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,821 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,838 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,854 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
2025-06-21 10:53:19,869 - ERROR - Error en lectura: ClearCommError failed (PermissionError(13, 'Acceso denegado.', None, 5))
